tc_number;troncon_principal;km_segment;subdivision;mille;localisation;acces;juridiction;autorite_routiere;protection;trains_jour;vehicules_jour;voies_route;urbain;vmax_S1_kmh;vmax_S2_kmh;vmax_S3_kmh;bande_S1;bande_S2;bande_S3;intervention;dist_trace_m
49324;Ott-TO;383.31;Kingston - CN;295.12;Waste Disposal Road;Private;F;Private Road Authority #1;Active - FLBG;40;100;1;N;167.0;210.3;250.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
140733;MTL-QC;102.27;Drummondville;96.88;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;108.3;136.4;162.7;≤153;≤153;154-177;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.8
242;MTL-Ott;160.68;Alexandria - VIA;62.8;Sand Rd;Public;F;Ottawa (ON);Active - FLBG;14;25;1;N;306.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);1.8
140620;MTL-QC;201.75;Drummondville;32.25;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
19652;Ott-TO;83.28;Brockville - VIA;12.08;Yule Rd;Public;F;Merrickville-Wolford (ON);Active - FLBG;12;50;1;N;300.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);1.9
36260;MTL-TO;31.48;Kingston - CN;19.21;Morgan Rue;Public;F;Baie-D'Urfé (QC);Active - FLBG;54;1;1;Y;241.1;303.6;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);1.9
140612;MTL-QC;243.87;Drummondville;9.3;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;160.8;202.4;241.5;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
4816;MTL-QC;151.28;Drummondville;66.58;Rang De La Rivîere;Public;F;Maddington (QC);Active - FLBG;27;720;2;N;87.0;109.6;130.7;≤153;≤153;≤153;standard (municipal, ≤2 voies, non urbain);1.9
19636;Ott-TO;66.12;Brockville - VIA;0.17;William St;Public;F;Smiths Falls (ON);Active - FLBG;12;600;2;Y;92.0;115.9;138.2;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);1.9
52485;MTL-Ott;63.8;Alexandria - VIA;1.74;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
45937;MTL-Ott;128.46;Alexandria - VIA;42.45;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;250.4;315.3;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
142588;MTL-QC;36.3;St-Hyacinthe;45.98;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
45736;MTL-TO;309.87;Kingston - CN;192.11;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;229.2;288.6;344.3;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
140674;MTL-QC;140.14;Drummondville;69.55;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
14518;Ott-TO;27.04;Smiths Falls;12.88;Mcbean St;Public;F;Ottawa (ON);Active - FLBG;21;1904;2;Y;240.3;302.6;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);1.9
142583;MTL-QC;36.3;St-Hyacinthe;45.2;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
45881;MTL-Ott;86.9;Alexandria - VIA;15.05;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;286.6;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
8428;MTL-QC;269.33;Bridge;15.58;Piste Cyclo-Piéton;Public;F;Québec (QC);Active - FLBG;13;25;2;Y;161.1;202.8;242.0;154-177;>201;>201;complexe (urbain / multi-voies / autorité provinciale);1.9
45667;MTL-TO;172.09;Kingston - CN;106.03;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;239.3;301.3;359.5;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);1.9
140665;MTL-QC;170.87;Drummondville;53.8;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.2;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
45954;MTL-Ott;160.68;Alexandria - VIA;65.43;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;306.1;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
140631;MTL-QC;201.75;Drummondville;34.27;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
46391;MTL-QC;121.71;Drummondville;82.86;Route Bureau;Public;F;Saint-Léonard d'Aston (QC);Active - FLBG;27;590;2;N;128.1;161.3;192.4;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);2.0
50125;MTL-QC;20.19;St-Hyacinthe;58.27;-;Private;F;Private Road Authority #1;Passive;55;10;2;N;200.4;252.3;300.9;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
14519;Ott-TO;33.57;Smiths Falls;17.88;Kettles Rd;Public;F;Ottawa (ON);Active - FLBG;12;10;1;N;300.2;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.0
45749;MTL-TO;335.83;Kingston - CN;207.56;Farm Crossing;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;211.6;266.5;317.9;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
45646;MTL-TO;61.75;Kingston - CN;49.45;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;267.4;336.7;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
45762;Ott-TO;249.37;Kingston - CN;212.5;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
19641;Ott-TO;68.02;Brockville - VIA;1.56;County Rd 17 (Jasper Ave);Public;F;Leeds & Grenville (Ontario);Active - FLBG;12;3544;2;N;135.9;171.1;204.0;≤153;154-177;>201;standard (municipal, ≤2 voies, non urbain);2.0
52500;MTL-Ott;63.8;Alexandria - VIA;5.01;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
142569;MTL-QC;36.3;St-Hyacinthe;42.85;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
52282;MTL-Ott;74.98;Alexandria - VIA;9.53;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;167.2;210.5;251.1;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
51818;Ott-TO;165.06;Kingston - CN;159.9;Farm Crossing;Private;F;Private Road Authority #1;Passive;-;-;2;N;194.0;244.3;291.4;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.0
8152;Ott-TO;284.85;Kingston - CN;237.03;Flindall Rd;Public;F;Quinte West (ON);Active - FLBG;40;300;2;N;239.4;301.4;359.5;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.0
8009;MTL-TO;240.16;Kingston - CN;148.28;Kidd Rd S.  (Ervens Rd);Public;F;Leeds and the 1000 Isl. (ON);Active - FLBG;40;10;1;N;239.0;300.9;359.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.0
