tc_number;troncon_principal;km_segment;subdivision;mille;localisation;acces;juridiction;autorite_routiere;protection;trains_jour;vehicules_jour;voies_route;urbain;vmax_S1_kmh;vmax_S2_kmh;vmax_S3_kmh;bande_S1;bande_S2;bande_S3;intervention;dist_trace_m
7983;MTL-TO;183.98;Kingston - CN;114.02;Sophia St  (Prescott);Public;F;Prescott (ON);Active - FLBG;40;500;2;N;307.8;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);2.9
140738;MTL-QC;93.75;Drummondville;101.98;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;161.9;203.9;243.2;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
142601;MTL-QC;36.3;St-Hyacinthe;47.82;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
201;MTL-Ott;97.98;Alexandria - VIA;22.29;McCormick Rd;Public;F;North Glengarry (ON);Active - FLBG;14;399;2;N;120.8;152.1;181.4;≤153;≤153;178-201;standard (municipal, ≤2 voies, non urbain);2.9
140720;MTL-QC;121.71;Drummondville;85.07;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;128.1;161.3;192.4;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
142608;MTL-QC;20.19;St-Hyacinthe;57.56;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;200.4;252.3;300.9;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
777111;MTL-TO;104.91;Kingston - CN;64.35;Private Driveway;Private;F;Private Road Authority #1;Passive;1;2;1;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
45801;MTL-TO;456.43;Kingston - CN;282.2;-;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;225.6;284.0;338.8;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
45721;Ott-TO;162.17;Kingston - CN;158.45;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;239.6;301.7;359.8;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);2.9
45897;MTL-Ott;87.16;Alexandria - VIA;19.3;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
8167;Ott-TO;304.82;Kingston - CN;248.29;Colton St;Public;F;Cramahe (ON);Active - FLBG;40;140;1;N;239.0;301.0;359.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.0
8004;MTL-TO;223.3;Kingston - CN;138.21;Quabbin Rd  (Cnty 4);Public;F;Leeds & Grenville (Ontario);Active - FLBG;40;500;2;Y;238.8;300.7;358.7;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.0
140752;MTL-QC;80.87;Drummondville;108.52;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
140686;MTL-QC;140.14;Drummondville;71.97;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
45922;MTL-Ott;115.7;Alexandria - VIA;33.43;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;198.3;249.7;297.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
238;MTL-Ott;151.27;Alexandria - VIA;60.57;Devine Rd;Public;F;Ottawa (ON);Active - FLBG;14;300;2;N;360.0;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.0
140659;MTL-QC;175.01;Drummondville;51.1;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;124.5;156.7;187.0;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
45896;MTL-Ott;87.16;Alexandria - VIA;19.18;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
45918;MTL-Ott;114.96;Alexandria - VIA;32.65;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;118.1;148.7;177.3;≤153;≤153;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.0
8230;MTL-TO;461.29;Kingston - CN;285.38;Metcalfe St;Public;F;Clarington (ON);Active - FLBG;40;350;2;N;171.2;215.5;257.1;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);3.0
221;MTL-Ott;128.46;Alexandria - VIA;46.23;7th Concession (Route 700);Public;F;The Nation / La Nation (ON);Active - FLBG;14;75;2;N;250.4;315.3;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.0
45680;MTL-TO;177.79;Kingston - CN;109.9;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;235.1;296.0;353.1;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
140615;MTL-QC;201.75;Drummondville;31.25;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
300180;MTL-TO;227.24;Kingston - CN;140.97;Farm;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;159.5;200.8;239.5;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
45754;Ott-TO;241.69;Kingston - CN;209.37;-;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;213.7;269.1;321.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
51756;Ott-TO;264.76;Kingston - CN;223.63;Farm Xng;Private;F;Private Road Authority #1;Passive;40;-;2;N;250.1;314.9;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
300538;MTL-TO;475.33;Kingston - CN;294.65;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;198.6;250.1;298.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
45802;MTL-TO;456.43;Kingston - CN;282.42;-;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;225.6;284.0;338.8;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.1
140707;MTL-QC;130.43;Drummondville;78.9;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;200.7;252.7;301.5;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.2
7916;MTL-Ott;46.41;Kingston - CN;33.19;Rte St-Emmanuel;Public;F;Coteau-du-Lac (QC);Active - FLBG;54;650;2;N;303.7;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.2
142593;MTL-QC;36.3;St-Hyacinthe;46.71;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.2
142573;MTL-QC;36.3;St-Hyacinthe;43.4;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.2
4856;MTL-QC;80.87;Drummondville;109.1;Rang De L'Eglise;Public;F;MTQ.;Active - FLBG;27;1130;2;N;199.6;251.4;299.8;178-201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.2
19651;Ott-TO;81.48;Brockville - VIA;10.13;Weedmark Rd;Public;F;Merrickville-Wolford (ON);Active - FLBG;12;50;1;N;300.0;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.3
45651;MTL-TO;61.75;Kingston - CN;51.5;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;267.4;336.7;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
45920;MTL-Ott;115.7;Alexandria - VIA;32.9;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;198.3;249.7;297.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
7930;MTL-TO;87.96;Kingston - CN;53.82;Main St (Lancaster) HWY 34;Public;F;Stormont Dundas&Glengarry (Ontario);Active - FLBG;40;4011;2;N;238.6;300.5;358.4;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.3
14507;Ott-TO;10.04;Smiths Falls;3.88;Fallowfield Rd;Public;F;Ottawa (ON);Active - FLBG;21.29;28897;4;Y;268.3;337.8;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.3
45647;MTL-TO;61.75;Kingston - CN;49.8;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;267.4;336.7;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
233;MTL-Ott;151.27;Alexandria - VIA;55.71;Main St;Public;F;The Nation / La Nation (ON);Active - FLBG;14;450;2;N;360.0;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.3
208;MTL-Ott;109.07;Alexandria - VIA;28.93;Kenyon Concession Road 5;Public;F;North Glengarry (ON);Active - FLBG;14;199;2;N;127.7;160.7;191.7;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);3.3
8191;MTL-TO;428.23;Kingston - CN;264.51;Ontario St;Public;F;Cobourg (ON);Active - FLBG;40;3000;2;Y;159.0;200.1;238.7;154-177;178-201;>201;complexe (urbain / multi-voies / autorité provinciale);3.3
141135;MTL-Ott;46.41;Kingston - CN;29.45;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;303.7;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
45748;Ott-TO;241.69;Kingston - CN;207.3;Private;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;213.7;269.1;321.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
140617;MTL-QC;201.75;Drummondville;31.65;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
4836;MTL-QC;116.22;Drummondville;88.27;Blake Road;Private;F;Private Road Authority #1;Passive;27;1;1;N;128.0;161.2;192.2;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
46233;MTL-TO;59.35;Kingston - CN;36.1;-;Private;F;Private Road Authority #1;Passive;54;2;1;N;191.9;241.6;288.2;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.3
34927;MTL-QC;62.09;Drummondville;121.72;De La Traverse;Public;F;Saint-Hyacinthe (QC);Active - FLBG;27;1000;2;N;133.4;168.0;200.3;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);3.3
8064;Ott-TO;200.09;Kingston - CN;181.71;Coronation Blvd (Cnty 24);Public;F;Lennox & Addington (Ontario);Active - FLBG;40;1500;2;Y;101.4;127.7;152.3;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);3.4
45658;MTL-TO;87.96;Kingston - CN;56.05;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;238.6;300.5;358.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
229;MTL-Ott;143.84;Alexandria - VIA;51.53;Faucher-Baker Rds;Public;F;The Nation / La Nation (ON);Active - FLBG;14;150;2;N;301.6;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.4
247;MTL-Ott;160.68;Alexandria - VIA;65.99;Eighth Line Rd;Public;F;Ottawa (ON);Active - FLBG;17.5;350;2;N;306.1;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.4
210;MTL-Ott;112.96;Alexandria - VIA;32.06;County Rd 22;Public;F;Stormont Dundas&Glengarry (Ontario);Active - FLBG;14;650;2;N;127.1;160.0;190.9;≤153;154-177;178-201;standard (municipal, ≤2 voies, non urbain);3.4
140725;MTL-QC;112.2;Drummondville;88.9;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;158.3;199.4;237.8;154-177;178-201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
140698;MTL-QC;132.42;Drummondville;77.15;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;202.2;254.6;303.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
50935;MTL-Ott;75.71;Alexandria - VIA;8.49;Farm Crossing;Private;F;Private Road Authority #1;Other;14;2;1;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
45945;MTL-Ott;151.27;Alexandria - VIA;57.32;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;360.0;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
7908;MTL-Ott;36.75;Kingston - CN;23.57;3 Ieme Avenue;Public;F;MTQ.;Active - FLBG;54;5670;2;N;221.7;279.1;332.9;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.4
140702;MTL-QC;132.42;Drummondville;77.78;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;202.2;254.6;303.7;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
45660;MTL-TO;124.32;Kingston - CN;78.96;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;238.1;299.7;357.5;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.4
7959;MTL-TO;108.68;Kingston - CN;73.86;Avonmore Rd (Cnty 15);Public;F;Stormont Dundas&Glengarry (Ontario);Active - FLBG;40;2117;2;N;239.7;301.8;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.4
51496;MTL-QC;149.55;Drummondville;67.63;Ferme;Private;F;Private Road Authority #1;Passive;27;2;1;N;232.1;292.2;348.6;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
45880;MTL-Ott;85.58;Alexandria - VIA;14.83;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;301.6;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
8166;MTL-TO;399.0;Kingston - CN;247.0;Blyth Park Rd;Public;F;Cramahe (ON);Active - FLBG;40;320;2;N;238.6;300.4;358.3;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.5
45724;Ott-TO;165.06;Kingston - CN;159.59;Farm Crossing;Private;F;Private Road Authority #1;Passive;40;2;1;N;194.0;244.3;291.4;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
45796;MTL-TO;422.31;Kingston - CN;261.13;-;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;301.4;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
140711;MTL-QC;121.71;Drummondville;83.42;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;128.1;161.3;192.4;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
45708;MTL-TO;245.26;Kingston - CN;153.9;Farm House & Fields;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;160.3;201.8;240.8;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
140737;MTL-QC;93.75;Drummondville;101.92;Private;Private;F;Private Road Authority #1;Passive;-;-;1;N;161.9;203.9;243.2;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.5
7928;MTL-TO;61.75;Kingston - CN;50.64;2Nd Line Rd - Cnty 26;Public;F;Stormont Dundas&Glengarry (Ontario);Active - FLBG;40;199;2;N;267.4;336.7;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.5
4837;MTL-QC;115.88;Drummondville;88.6;Chemin Du 9E Rang;Public;F;MTQ.;Active - FLBG;27;1000;2;N;160.2;201.6;240.5;154-177;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.5
200508;MTL-QC;246.85;Bridge;0.93;Passage Pieton/Velo;Public;F;Levis (Quebec);Active - FLB;13;1;1;Y;174.9;220.2;262.7;154-177;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.6
45732;Ott-TO;209.02;Kingston - CN;188.41;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;239.2;301.1;359.2;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
300124;Ott-TO;264.76;Kingston - CN;223.78;Farm Xng;Private;F;Private Road Authority #1;Passive;40;10;2;N;250.1;314.9;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
200568;MTL-QC;100.3;Drummondville;98.23;Rue Lindsay;Public;F;Drummondville (QC);Active - FLBG;27;13020;2;Y;130.4;164.1;195.8;≤153;154-177;178-201;complexe (urbain / multi-voies / autorité provinciale);3.6
227;MTL-Ott;140.84;Alexandria - VIA;48.64;Lafontaine Rd;Public;F;The Nation / La Nation (ON);Active - FLBG;14;50;1;N;197.8;249.1;297.1;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.6
8196;MTL-TO;430.83;Kingston - CN;266.63;Bob Carr Rd;Private;F;Hamilton (ON);Passive;40;1;1;N;197.2;248.2;296.1;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
142594;MTL-QC;36.3;St-Hyacinthe;46.8;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
45690;MTL-TO;197.57;Kingston - CN;121.72;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;239.3;301.3;359.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
142579;MTL-QC;36.3;St-Hyacinthe;44.52;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
45883;MTL-Ott;87.16;Alexandria - VIA;15.95;-;Private;F;Private Road Authority #1;Passive;14;10;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
140655;MTL-QC;175.01;Drummondville;47.45;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;124.5;156.7;187.0;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
140717;MTL-QC;121.71;Drummondville;84.4;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;128.1;161.3;192.4;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.6
52497;MTL-Ott;63.8;Alexandria - VIA;4.53;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
45803;MTL-TO;457.14;Kingston - CN;282.66;-;Private;F;Private Road Authority #1;Passive;40;10;1;N;200.2;252.1;300.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
300167;Ott-TO;160.49;Kingston - CN;156.63;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;172.8;217.6;259.5;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
8157;MTL-TO;388.28;Kingston - CN;241.59;Prince Edward-Cnty 63 (Br;Public;F;Northumberland (Ontario);Active - FLBG;40;2700;2;Y;193.6;243.7;290.7;178-201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.7
140750;MTL-QC;80.87;Drummondville;108.02;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
51507;MTL-QC;140.14;Drummondville;73.56;Ferme;Private;F;Private Road Authority #1;Passive;27;2;1;N;239.8;302.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
140668;MTL-QC;151.98;Drummondville;64.45;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;160.1;201.5;240.4;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
52501;MTL-Ott;63.8;Alexandria - VIA;5.34;Farm;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
14529;Ott-TO;63.92;Smiths Falls;33.79;Hwy   15;Public;F;ON -Ministry of Transportation;Active - FLBG;12;6600;2;N;195.5;246.1;293.6;178-201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.7
50834;MTL-Ott;63.8;Alexandria - VIA;4.1;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;2;1;N;199.3;250.9;299.3;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
778926;MTL-TO;174.21;Kingston - CN;107.46;-;Private;F;Private Road Authority #1;Passive;-;-;1;N;303.8;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
45737;Ott-TO;215.72;Kingston - CN;192.44;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;228.0;287.0;342.4;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
45921;MTL-Ott;115.7;Alexandria - VIA;33.15;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;198.3;249.7;297.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.7
52285;MTL-Ott;75.71;Alexandria - VIA;8.51;Farm Crossing;Private;F;Private Road Authority #1;Passive;14;-;-;N;251.0;316.1;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
140754;MTL-QC;80.87;Drummondville;109.39;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
8234;Ott-TO;369.39;Kingston - CN;286.75;Toronto St;Public;F;Clarington (ON);Active - FLBG;40;30;1;N;238.9;300.8;358.8;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.8
45944;MTL-Ott;151.27;Alexandria - VIA;57.1;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;360.0;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
300165;MTL-TO;208.92;Kingston - CN;129.61;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;199.7;251.5;299.9;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
8162;Ott-TO;294.1;Kingston - CN;244.94;Hunt Club Rd;Public;F;Cramahe (ON);Active - FLBG;40;40;2;N;199.8;251.6;300.1;178-201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.8
8512;MTL-QC;263.61;Bridge;11.75;Boul Pere Lelievre;Public;F;Québec (QC);Active - FLBG;13;13000;4;Y;302.3;360.0;360.0;>201;>201;>201;complexe (urbain / multi-voies / autorité provinciale);3.8
300177;MTL-TO;221.84;Kingston - CN;136.9;Farm;Private;F;Private Road Authority #1;Passive;40;2;1;N;300.7;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
45755;Ott-TO;241.69;Kingston - CN;209.51;-;Private;F;Private Road Authority #1;Active - FLB;40;2;1;N;213.7;269.1;321.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
140671;MTL-QC;151.98;Drummondville;66.1;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;160.1;201.5;240.4;154-177;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
14516;Ott-TO;27.04;Smiths Falls;11.97;Eagleson Rd;Public;F;Ottawa (ON);Active - FLBG;12;2300;2;N;240.3;302.6;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.8
140763;MTL-QC;66.89;Drummondville;118.67;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;133.9;168.6;201.1;≤153;154-177;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
8335;Ott-TO;426.6;Kingston - GO;321.97;Golf Club Rd;Public;P;Toronto (ON);Active - FLBG;103;7500;2;Y;96.7;121.8;145.3;≤153;≤153;≤153;complexe (urbain / multi-voies / autorité provinciale);3.8
45681;MTL-TO;182.36;Kingston - CN;111.89;-;Private;F;Private Road Authority #1;Other;40;2;1;N;199.4;251.0;299.4;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
45886;MTL-Ott;87.16;Alexandria - VIA;16.58;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;127.3;160.2;191.1;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
140740;MTL-QC;80.87;Drummondville;105.16;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
610807;MTL-QC;80.87;Drummondville;105.12;-;Private;F;Private Road Authority #1;Passive;27;10;1;N;199.6;251.4;299.8;178-201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
45661;MTL-TO;139.16;Kingston - CN;85.4;-;Private;F;Private Road Authority #1;Passive;40;2;1;N;300.7;360.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
140723;MTL-QC;120.25;Drummondville;85.6;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.1;160.0;190.9;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.8
45875;MTL-Ott;83.64;Alexandria - VIA;13.2;-;Private;F;Private Road Authority #1;Passive;14;2;1;N;109.5;137.9;164.5;≤153;≤153;154-177;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.9
140625;MTL-QC;201.75;Drummondville;33.05;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;127.6;160.7;191.6;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.9
142575;MTL-QC;36.3;St-Hyacinthe;43.65;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;241.4;304.0;360.0;>201;>201;>201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.9
195;MTL-Ott;80.48;Alexandria - VIA;11.61;Ch. Du 4E Rang;Public;F;Sainte-Justine-de-Newton (QC);Active - FLBG;14;25;2;N;139.4;175.5;209.3;≤153;154-177;>201;standard (municipal, ≤2 voies, non urbain);3.9
140646;MTL-QC;175.01;Drummondville;41.05;Private;Private;F;Private Road Authority #1;Passive;-;-;-;N;124.5;156.7;187.0;≤153;154-177;178-201;fermeture (HYPOTHÈSE : alternative routière non vérifiée);3.9
8238;MTL-TO;469.92;Kingston - CN;290.44;Port Darlington Rd;Public;F;Clarington (ON);Active - FLBG;40;1500;2;N;160.7;202.3;241.3;154-177;>201;>201;standard (municipal, ≤2 voies, non urbain);3.9
7981;MTL-TO;183.98;Kingston - CN;112.95;Boundary St  (Prescott);Public;F;Prescott (ON);Active - FLBG;40;1300;2;N;307.8;360.0;360.0;>201;>201;>201;standard (municipal, ≤2 voies, non urbain);3.9
300981;Ott-TO;109.31;Brockville - VIA;27.12;Hislop Ave;Public;F;Brockville (ON);Active - FLBG;24;2;1;N;77.2;97.3;116.0;≤153;≤153;≤153;standard (municipal, ≤2 voies, non urbain);3.9
